datelabel,beat,CrimeType,Incidents,Latitude,Longitude
10/13/2014,G2,Assault,1,47.59589351,-122.3066351
10/13/2014,E2,Assault,1,47.61184148,-122.3201628
10/13/2014,E3,Assault,1,47.60316057,-122.3193215
10/13/2014,G2,Assault,1,47.59589351,-122.3066351
10/13/2014,C2,Assault,1,47.61923678,-122.3135591
10/13/2014,C1,Assault,1,47.63424905,-122.3156873
10/13/2014,E2,Assault,1,47.61184148,-122.3201628
10/13/2014,G1,Assault,1,47.60913583,-122.3079013
10/13/2014,E1,Burglary,1,47.62034695,-122.3244215
10/13/2014,C3,Rape,1,47.63007879,-122.2920892
10/13/2014,C3,Rape,1,47.63007879,-122.2920892
10/13/2014,C1,Robbery,1,47.63424905,-122.3156873
10/13/2014,E1,Robbery,1,47.62034695,-122.3244215
10/13/2014,E2,Robbery,1,47.61184148,-122.3201628
10/13/2014,E1,Robbery,1,47.62034695,-122.3244215
10/13/2014,E2,Robbery,1,47.61184148,-122.3201628
10/13/2014,N3,Assault,1,47.70449976,-122.329962
10/13/2014,J1,Assault,1,47.67680873,-122.337901
10/13/2014,N1,Assault,1,47.72268665,-122.34046
10/13/2014,B2,Assault,1,47.67905116,-122.39175
10/13/2014,J1,Assault,1,47.67680873,-122.337901
10/13/2014,J2,Assault,1,47.66133568,-122.3638216
10/13/2014,J3,Assault,1,47.65637666,-122.33647
10/13/2014,L1,Assault,1,47.7265467,-122.3026333
10/13/2014,N3,Assault,1,47.70449976,-122.329962
10/13/2014,U1,Assault,1,47.68486687,-122.3099149
10/13/2014,B3,Assault,1,47.68129096,-122.3642373
10/13/2014,N3,Assault,1,47.70449976,-122.329962
10/13/2014,U1,Assault,1,47.68486687,-122.3099149
10/13/2014,J3,Burglary,1,47.65637666,-122.33647
10/13/2014,L1,Burglary,1,47.7265467,-122.3026333
10/13/2014,N1,Burglary,1,47.72268665,-122.34046
10/13/2014,U1,Burglary,1,47.68486687,-122.3099149
10/13/2014,J3,Homicide,1,47.65637666,-122.33647
10/13/2014,B3,Rape,1,47.68129096,-122.3642373
10/13/2014,L1,Rape,1,47.7265467,-122.3026333
10/13/2014,N3,Rape,1,47.70449976,-122.329962
10/13/2014,U2,Robbery,1,47.65855295,-122.3065966
10/13/2014,B2,Robbery,1,47.67905116,-122.39175
10/13/2014,J1,Robbery,1,47.67680873,-122.337901
10/13/2014,B2,Robbery,1,47.67905116,-122.39175
10/13/2014,J2,Robbery,1,47.66133568,-122.3638216
10/13/2014,U1,Robbery,1,47.68486687,-122.3099149
10/13/2014,U2,Robbery,1,47.65855295,-122.3065966
10/13/2014,U3,Robbery,1,47.66600663,-122.3122063
10/13/2014,R3,Assault,1,47.55279355,-122.2682133
10/13/2014,O2,Assault,1,47.56568576,-122.3309437
10/13/2014,O3,Assault,1,47.53458317,-122.303027
10/13/2014,R1,Assault,1,47.57581055,-122.2887105
10/13/2014,R3,Assault,1,47.55279355,-122.2682133
10/13/2014,R1,Assault,1,47.57581055,-122.2887105
10/13/2014,R2,Assault,1,47.56228391,-122.3042432
10/13/2014,O2,Burglary,1,47.56568576,-122.3309437
10/13/2014,O3,Burglary,1,47.53458317,-122.303027
10/13/2014,R3,Burglary,1,47.55279355,-122.2682133
10/13/2014,S2,Burglary,1,47.52635109,-122.2740975
10/13/2014,S3,Burglary,1,47.50935216,-122.2595453
10/13/2014,O1,Burglary,1,47.58228464,-122.3118019
10/13/2014,O3,Burglary,1,47.53458317,-122.303027
10/13/2014,R1,Burglary,1,47.57581055,-122.2887105
10/13/2014,O1,Homicide,1,47.58228464,-122.3118019
10/13/2014,S3,Rape,1,47.50935216,-122.2595453
10/13/2014,R1,Robbery,1,47.57581055,-122.2887105
10/13/2014,S2,Robbery,1,47.52635109,-122.2740975
10/13/2014,R1,Robbery,1,47.57581055,-122.2887105
10/13/2014,R2,Robbery,1,47.56228391,-122.3042432
10/13/2014,S3,Robbery,1,47.50935216,-122.2595453
10/13/2014,R2,Robbery,1,47.56228391,-122.3042432
